OTU_ID	taxonomy
ASV_620	;Rhizophlyctis;rosea
ASV_621	;Septoglomus;viscosum
ASV_622	;Septoglomus;NA
ASV_623	;NA;NA
ASV_624	;Dominikia;NA
ASV_625	;Neohelicomyces;hyalosporus
ASV_626	;Rhizophagus;irregularis
ASV_627	;Entoloma;NA
ASV_628	;Chaetosphaeronema;NA
ASV_629	;Mortierella;alpina
ASV_630	;Conlarium;NA
ASV_631	;Podospora;glutinoides
ASV_632	;Colletotrichum;NA
ASV_636	;NA;NA
ASV_637	;Chalara;heteroderae
ASV_639	;Myrothecium;NA
ASV_640	;Ceratobasidium;NA
ASV_641	;NA;NA
ASV_642	;Herpotrichia;australis
ASV_643	;NA;NA
ASV_644	;Dictyosporella;NA
ASV_645	;NA;NA
ASV_646	;Diversispora;epigaea
ASV_647	;Eucasphaeria;NA
ASV_649	;NA;NA
ASV_650	;NA;NA
ASV_651	;Cirrenalia;NA
ASV_652	;NA;NA
ASV_653	;Glomus;indicum
ASV_654	;Arthrobotrys;NA
ASV_655	;NA;NA
ASV_656	;Lipomyces;tetrasporus
ASV_657	;Keissleriella;poagena
ASV_658	;Cercospora;NA
ASV_659	;Glomus;aggregatum
ASV_660	;Leptospora;NA
ASV_661	;Glomus;macrocarpum
ASV_662	;Alternaria;metachromatica
ASV_663	;Fusicolla;septimanifiniscientiae
ASV_664	;Podospora;intestinacea
ASV_665	;Aspergillus;NA
ASV_667	;NA;NA
ASV_668	;Psathyrella;candolleana
ASV_669	;Trichoderma;hamatum
ASV_670	;Auricularia;NA
ASV_671	;Glomus;tetrastratosum
ASV_672	;Gongronella;butleri
ASV_674	;Tubeufia;helicomyces
ASV_675	;NA;NA
ASV_676	;Cyphellophora;NA
ASV_677	;NA;NA
ASV_678	;Cylindrocarpon;NA
ASV_679	;Septoglomus;viscosum
ASV_681	;Conocybe;velutipes
ASV_682	;Vishniacozyma;dimennae
ASV_683	;Xenasmatella;christiansenii
ASV_684	;Auricularia;NA
ASV_685	;Glomus;macrocarpum
ASV_687	;Glomus;indicum
ASV_688	;NA;NA
ASV_689	;NA;NA
ASV_691	;Funneliformis;mosseae
ASV_692	;NA;NA
ASV_693	;NA;NA
ASV_695	;Glomus;macrocarpum
ASV_696	;NA;NA
ASV_697	;Hyalorbilia;NA
ASV_698	;Septoglomus;viscosum
ASV_700	;Exophiala;equina
ASV_701	;Gongronella;butleri
ASV_702	;Glomus;macrocarpum
ASV_704	;NA;NA
ASV_706	;NA;NA
ASV_707	;Septoglomus;NA
ASV_708	;Articulospora;proliferata
ASV_710	;Glomus;NA
ASV_711	;NA;NA
ASV_713	;Cistella;NA
ASV_714	;Stagonosporopsis;NA
ASV_715	;NA;NA
ASV_716	;NA;NA
ASV_717	;NA;NA
ASV_718	;NA;NA
ASV_721	;NA;NA
ASV_722	;Myrothecium;NA
ASV_724	;Sporobolomyces;roseus
ASV_725	;NA;NA
ASV_727	;Cirrenalia;iberica
ASV_728	;Glomus;NA
ASV_729	;Neofitzroyomyces;nerii
ASV_732	;NA;NA
ASV_733	;Clitopilus;NA
ASV_734	;NA;NA
ASV_736	;NA;NA
ASV_738	;Schizothecium;NA
ASV_739	;NA;NA
ASV_740	;Claroideoglomus;NA
ASV_741	;NA;NA
ASV_743	;Vishniacozyma;tephrensis
ASV_745	;Metacordyceps;chlamydosporia
ASV_746	;Typhula;NA
ASV_748	;Limonomyces;NA
ASV_749	;Stemphylium;beticola
ASV_750	;Roussoella;NA
ASV_752	;Cladophialophora;NA
