"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_15393","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"ASV_15394","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola"
"ASV_15395","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ASV_15396","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19",NA
"ASV_15401","Bacteria","Rokubacteria","NC10","Rokubacteriales",NA,NA
"ASV_15402","Bacteria","Acidobacteria","Holophagae","Subgroup_7",NA,NA
"ASV_15417","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ASV_15420","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ASV_15440","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae",NA
"ASV_15441","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Ovatusbacter"
"ASV_15442","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15452","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"ASV_15453","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales",NA,NA
"ASV_15454","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales",NA,NA
"ASV_15455","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV_15456","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV_15457","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea"
"ASV_15458","Bacteria",NA,NA,NA,NA,NA
"ASV_15463","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9",NA
"ASV_15468","Bacteria",NA,NA,NA,NA,NA
"ASV_15483","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_15484","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae",NA
"ASV_15485","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ASV_15513","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"ASV_15514","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ASV_15520","Bacteria","Armatimonadetes",NA,NA,NA,NA
"ASV_15521","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ASV_15522","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium"
"ASV_15523","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15524","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Anaeromyxobacter"
"ASV_15525","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","DS-100",NA,NA
"ASV_15526","Bacteria",NA,NA,NA,NA,NA
"ASV_15527","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"ASV_15528","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ASV_15529","Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV_15530","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ASV_15532","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"ASV_15533","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ASV_15534","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ASV_15535","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ASV_15536","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ASV_15537","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA
"ASV_15538","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonas"
"ASV_15539","Bacteria","Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae",NA
"ASV_15540","Bacteria","Chloroflexi",NA,NA,NA,NA
"ASV_15541","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV_15542","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ASV_15545","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15546","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"ASV_15547","Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV_15548","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
