"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_198","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Trichopeziza","mollissima"
"ASV_200","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","aggregatum"
"ASV_201","Fungi","Ascomycota","Sordariomycetes","Branch06",NA,NA,NA
"ASV_202","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA
"ASV_203","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"ASV_204","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA
"ASV_205","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"ASV_206","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius",NA
"ASV_207","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae",NA,NA
"ASV_208","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon",NA
"ASV_210","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",NA
"ASV_211","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","echinula"
"ASV_212","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon",NA
"ASV_213","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","friesii"
"ASV_214","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum",NA
"ASV_215","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"ASV_219","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"ASV_220","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","ramulariae"
"ASV_221","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago",NA
"ASV_222","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","hiemalis"
"ASV_224","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae",NA,NA
"ASV_225","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_226","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",NA
"ASV_227","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius",NA
"ASV_228","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"ASV_230","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","spaethianum"
"ASV_231","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismatales_fam_Incertae_sedis","Karstenia","macer"
"ASV_232","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora",NA
"ASV_234","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","proliferata"
"ASV_235","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae",NA,NA
"ASV_236","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae",NA,NA
"ASV_237","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","pullulans"
"ASV_238","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA
"ASV_239","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","oratosquillae"
"ASV_240","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Gigaspora",NA
"ASV_241","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"ASV_243","Fungi","Basidiomycota","Classiculomycetes","Classiculales","Classiculaceae",NA,NA
"ASV_245","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae",NA,NA
"ASV_246","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae",NA,NA
"ASV_247","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA
"ASV_248","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_249","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae",NA,NA
"ASV_251","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA
"ASV_252","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","fusiformis"
"ASV_253","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia",NA
"ASV_254","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA
"ASV_255","Fungi","Ascomycota","Sordariomycetes","Phomatosporales","Phomatosporaceae","Phomatospora","biseriata"
"ASV_256","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium",NA
"ASV_257","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","friesii"
"ASV_258","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","tetrastratosum"
"ASV_259","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA
"ASV_260","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Waitea","circinata"
"ASV_261","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","Remispora","stellata"
"ASV_262","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"ASV_263","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Heydenia",NA
"ASV_264","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,NA,NA
"ASV_265","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Trichometasphaeria",NA
"ASV_266","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","irregularis"
"ASV_267","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella",NA
"ASV_268","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium",NA
"ASV_269","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Operculomyces","laminatus"
"ASV_271","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora",NA
"ASV_272","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","friesii"
"ASV_273","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","strictum"
"ASV_275","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","mosseae"
"ASV_276","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_277","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA
"ASV_278","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Piniphoma","wesendahlina"
"ASV_279","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","rubrococca"
"ASV_280","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","irregularis"
"ASV_281","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","persicinum"
"ASV_282","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae",NA,NA
"ASV_283","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"ASV_285","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Gigaspora",NA
"ASV_286","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae",NA,NA
"ASV_287","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"ASV_288","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Operculomyces","laminatus"
"ASV_289","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Pleurophragmium",NA
"ASV_290","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","friesii"
"ASV_292","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Irpicaceae","Efibula","americana"
"ASV_293","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","tetrastratosum"
"ASV_296","Fungi","Ascomycota","Sordariomycetes","Branch06",NA,NA,NA
"ASV_297","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"ASV_299","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Pleurophoma",NA
"ASV_300","Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis",NA
"ASV_301","Fungi","Ascomycota","Sordariomycetes","Annulatascales","Annulatascaceae","Dictyosporella",NA
"ASV_303","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismatales_fam_Incertae_sedis","Karstenia","macer"
"ASV_305","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA
"ASV_308","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_310","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","irregularis"
"ASV_311","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","pullulans"
"ASV_312","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Cadophora","gregata"
"ASV_313","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","elongata"
"ASV_314","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","multipilosa"
"ASV_316","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","bonariae"
